,links,images,brands,price,rating,catogory
32,https://www.flipkart.com/crochetin-woven-tangail-tussar-silk-saree/p/itm46e9420b57e2d?pid=SARFGGG2ZCGX2DZM&lid=LSTSARFGGG2ZCGX2DZML4XXTB&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_33&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFGGG2ZCGX2DZM.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/jy90eq80/sari/d/z/m/free-p1040-crochetin-original-imafghayvgacmbzt.jpeg?q=50,crochetin ,"₹3,555",4,saree
33,https://www.flipkart.com/m-s-retail-embellished-kanjivaram-jacquard-saree/p/itmafde25cbc3db7?pid=SARFH3FRDQXETEVW&lid=LSTSARFH3FRDQXETEVWXSMEUK&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_34&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFH3FRDQXETEVW.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/jwdupow0/sari/e/v/w/free-ac-rl-4003-m-s-retail-original-imaf3y2hts4rmppp.jpeg?q=50,M.S.RETAIL ,"₹3,550",3.9,saree
34,https://www.flipkart.com/kakali-s-world-embroidered-muslin-silk-blend-saree/p/itmd14ec0c9a7869?pid=SARG8X4R7CTAPZ9G&lid=LSTSARG8X4R7CTAPZ9GZWLXDF&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_35&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARG8X4R7CTAPZ9G.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kw6pw280/sari/k/j/d/free-hand-woven-matka-silk-saree-with-kakali-s-world-no-blouse-original-imag8x4hehzhegds.jpeg?q=50,KAKALI'S WORLD ,"₹3,500",3.2,saree
35,https://www.flipkart.com/nivah-fashion-floral-print-banarasi-jacquard-saree/p/itmbbf9d4560faca?pid=SARGCA9Z32PRHZAK&lid=LSTSARGCA9Z32PRHZAKQ143C8&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_36&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARGCA9Z32PRHZAK.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/l0fm07k0/sari/j/b/s/free-ujj-k786-red-ujjwal-creation-unstitched-original-imagc85ehbtpghaf.jpeg?q=50,Nivah Fashion ,"₹3,499",3.6,saree
36,https://www.flipkart.com/crochetin-woven-jamdani-cotton-blend-saree/p/itm3bf9f490dab30?pid=SARF228DKVRT6PZH&lid=LSTSARF228DKVRT6PZHMTCYRX&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_37&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARF228DKVRT6PZH.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/jd3epow0/sari/p/z/h/free-d1200-crochetin-original-imaf2283ng8vrzwf.jpeg?q=50,crochetin ,"₹3,499",3.9,saree
37,https://www.flipkart.com/oomph-floral-print-fashion-chiffon-saree/p/itm71a81f77cbc1e?pid=SARFYZMKHRHQQFRQ&lid=LSTSARFYZMKHRHQQFRQU5IH2H&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_38&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFYZMKHRHQQFRQ.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/k3xcdjk0pkrrdj/sari/4/t/k/crimson-red-rbaf-2493b-oomph-original-imaffff89zf4wnvf.jpeg?q=50,Oomph! ,"₹3,340",4,saree
38,https://www.flipkart.com/halsons-woven-banarasi-satin-silk-blend-saree/p/itm05dc71445fcb0?pid=SARFYQUFGAQA9T2J&lid=LSTSARFYQUFGAQA9T2JEYSZKO&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_39&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARFYQUFGAQA9T2J.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kj36ky80-0/sari/d/q/i/free-ha-31751-halsons-unstitched-original-imafyqufahvhyufg.jpeg?q=50,HALSONS ,"₹3,327",4.8,saree
39,https://www.flipkart.com/cottonsilk-khanduapata-self-design-sambalpuri-pure-cotton-saree/p/itm81fd96fb9469a?pid=SARGFZ7GESKVDDUB&lid=LSTSARGFZ7GESKVDDUBCRQKG5&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_40&otracker=browse&fm=organic&iid=a3470a6f-c1cb-4b16-99c5-f93208d69ff0.SARGFZ7GESKVDDUB.SEARCH&ppt=None&ppn=None&ssid=oawu5n0h8g0000001656496951336,https://rukminim1.flixcart.com/image/330/396/kmuxevk0/sari/j/q/u/free-cotton-452-cottonsilk-khanduapata-no-blouse-original-imagfz7gpvxzmnpn.jpeg?q=50,COTTONSILK & KHANDUAPATA ,"₹3,299",4,saree
40,https://www.flipkart.com/reboot-fashions-embroidered-bollywood-georgette-saree/p/itm62ae453a878cb?pid=SARG7BKPHBWCWRUD&lid=LSTSARG7BKPHBWCWRUDIELPE5&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_41&otracker=browse&fm=organic&iid=856e5151-7336-431b-aba2-650c92bc72fd.SARG7BKPHBWCWRUD.SEARCH&ppt=None&ppn=None&ssid=ykja2tupw00000001656496962065,https://rukminim1.flixcart.com/image/330/396/ku4ezrk0/sari/w/u/c/free-80122-superhit-reboot-fashions-unstitched-original-imag7bkpvd4r2fpf.jpeg?q=50,REBOOT FASHIONS ,"₹3,226",3,saree
41,https://www.flipkart.com/m-s-retail-embroidered-kanjivaram-art-silk-saree/p/itm917b85ce0e5b1?pid=SARF3PUEKAPGWBKY&lid=LSTSARF3PUEKAPGWBKYPA7BZ4&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_2_42&otracker=browse&fm=organic&iid=856e5151-7336-431b-aba2-650c92bc72fd.SARF3PUEKAPGWBKY.SEARCH&ppt=None&ppn=None&ssid=ykja2tupw00000001656496962065,https://rukminim1.flixcart.com/image/330/396/khf63680/sari/l/t/t/free-ac-rl-3112-m-s-retail-unstitched-original-imafxftrnwagtzby.jpeg?q=50,M.S.RETAIL ,"₹3,206",3.8,saree
